,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
373,373,Karpathos,GR,35.507,27.2132,60.8,77,48,2.3,1619210237
374,374,Hong Kong,HK,22.2855,114.1577,79.0,83,14,11.23,1619210238
375,375,Plettenberg Bay,ZA,-34.0527,23.3716,62.04,90,5,7.25,1619210238
376,376,Alpena,US,45.0617,-83.4327,64.4,19,90,10.36,1619210223
377,377,Maridi,SS,4.9158,29.4742,67.59,87,100,5.1,1619210239
378,378,Todos Santos,MX,23.45,-110.2167,82.99,31,3,7.0,1619210239
379,379,Charlestown,AU,-32.95,151.6667,55.0,82,100,4.79,1619209981
380,380,Inderka,RU,53.2485,46.2582,45.5,87,100,3.85,1619210240
381,381,Pinhão,BR,-25.6956,-51.6597,62.29,58,26,2.13,1619210240
382,382,Ābādān,IR,30.3392,48.3043,84.2,28,0,2.3,1619210241
383,383,Margate,GB,51.3813,1.3862,46.99,70,48,1.99,1619210217
384,384,Langsa,ID,4.4683,97.9683,72.14,96,100,1.81,1619210241
385,385,Tiszanagyfalu,HU,48.1,21.4833,42.8,65,0,5.75,1619210242
386,386,Severo-Kuril'sk,RU,50.6789,156.125,35.67,93,99,7.76,1619210242
387,387,Rancho Palos Verdes,US,33.7445,-118.387,63.0,67,75,10.36,1619210050
388,388,San Javier,ES,37.8063,-0.8374,61.0,88,75,11.5,1619210243
389,389,Seoni Mālwa,IN,22.45,77.4667,84.49,18,69,6.08,1619210243
390,390,Flin Flon,CA,54.7682,-101.865,30.2,37,40,13.8,1619210244
391,391,Lebu,CL,-37.6167,-73.65,57.76,81,41,7.87,1619210244
392,392,Saravan,AM,39.7196,45.6483,62.6,55,0,9.22,1619210244
393,393,Paamiut,GL,61.994,-49.6678,33.44,77,1,2.06,1619210245
394,394,Olafsvik,IS,64.8945,-23.7142,43.5,91,100,11.1,1619210245
395,395,Yacuiba,BO,-22.038,-63.6797,69.8,100,90,3.24,1619210245
396,396,Makakilo City,US,21.3469,-158.0858,82.4,47,75,10.36,1619210246
397,397,Derzhavīnsk,KZ,51.1,66.3167,42.64,46,100,13.51,1619210247
398,398,Lata,PT,40.1629,-8.3327,61.0,94,40,6.91,1619210247
399,399,Bend,US,44.0582,-121.3153,63.0,14,1,6.2,1619210233
400,400,College Station,US,30.628,-96.3344,71.6,94,90,12.66,1619210204
401,401,Kamenka,RU,51.3223,42.7678,43.0,94,9,7.14,1619210248
402,402,Tiarei,PF,-17.5333,-149.3333,84.2,65,75,4.61,1619210248
403,403,Lüderitz,,-26.6481,15.1594,63.63,80,46,8.39,1619210249
404,404,Darhan,MN,49.4867,105.9228,33.76,81,100,4.74,1619210249
405,405,Los Llanos de Aridane,ES,28.6585,-17.9182,69.8,64,20,4.61,1619210016
406,406,Lom Sak,TH,16.7798,101.2422,80.1,72,64,4.07,1619210250
407,407,Ahipara,NZ,-35.1667,173.1667,63.43,74,54,9.44,1619210250
408,408,Otofuke,JP,42.9917,143.2003,41.47,76,83,1.83,1619210251
409,409,Kisangani,CD,0.5167,25.2,70.34,99,95,0.89,1619210251
410,410,Sungai Penuh,ID,-2.0833,101.3833,62.38,96,72,1.48,1619210251
411,411,Gigmoto,PH,13.7796,124.39,77.67,85,97,3.83,1619210252
412,412,Nouadhibou,MR,20.930999999999997,-17.0347,66.2,77,0,18.41,1619210252
413,413,Gizo Government Station,SB,-8.103,156.8419,82.08,75,93,9.55,1619210253
414,414,Tongliao,CN,43.6125,122.2653,49.89,87,100,10.83,1619210253
415,415,Altamont,US,42.2068,-121.7372,64.0,18,1,9.22,1619210253
416,416,Balabac,PH,7.9868,117.0645,81.23,80,94,11.48,1619210254
417,417,Vyshhorod,UA,50.5848,30.4898,46.0,95,25,10.54,1619210254
418,418,Algiers,DZ,36.7525,3.042,57.2,82,40,5.75,1619210123
419,419,Cortez,US,37.3489,-108.5859,55.4,26,75,9.22,1619210255
420,420,Pionerskiy,RU,54.9508,20.2275,37.99,75,20,6.71,1619210255
421,421,Sinjai,ID,-5.1241,120.25299999999999,73.6,90,27,4.0,1619210256
422,422,Beisfjord,NO,68.3751,17.5988,32.0,80,20,12.66,1619210256
423,423,Soller,ES,39.7662,2.7152,59.0,73,86,4.5,1619210256
424,424,Millbrook,US,32.4799,-86.3619,71.6,28,40,4.61,1619210257
425,425,Howard Springs,AU,-12.497,131.047,73.4,68,0,4.61,1619210257
426,426,Kirkwall,GB,58.9848,-2.9587,37.4,87,100,2.3,1619210258
427,427,Champerico,GT,14.3,-91.9167,91.4,62,75,6.91,1619210258
428,428,San Miguel de Tucumán,AR,-26.8241,-65.2226,71.6,83,75,4.61,1619210081
429,429,São Félix do Xingu,BR,-6.6447,-51.995,75.9,94,83,0.98,1619210259
430,430,Tigil',RU,57.8,158.6667,33.22,99,100,9.66,1619210259
431,431,Ouadda,CF,8.0777,22.4007,71.06,87,100,6.38,1619210259
432,432,Jalu,LY,29.0331,21.5482,78.93,14,0,11.74,1619210260
433,433,Gusau,NG,12.1628,6.6614,90.37,30,14,3.04,1619210260
434,434,Omboué,GA,-1.5746,9.2618,78.21,89,92,5.86,1619210261
435,435,Lagoa,PT,39.05,-27.9833,57.81,74,10,33.64,1619210261
436,436,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,71,40,2.3,1619210261
437,437,Mauá,BR,-23.6678,-46.4614,68.0,73,40,12.66,1619210262
438,438,Brumunddal,NO,60.881,10.9395,34.0,58,44,3.0,1619210262
439,439,Farafangana,MG,-22.8167,47.8333,71.13,88,60,1.14,1619210263
440,440,Le Vauclin,MQ,14.5452,-60.8388,84.2,61,20,14.97,1619210263
441,441,Pacific Grove,US,36.6177,-121.9166,61.0,55,40,12.66,1619210264
442,442,Ceres,US,37.5949,-120.9577,71.01,45,1,3.44,1619210264
443,443,Chimoré,BO,-16.9833,-65.1333,76.77,94,31,1.97,1619210264
444,444,Omsukchan,RU,62.5333,155.8,22.86,94,100,2.64,1619209991
445,445,Barreirinhas,BR,-2.7469,-42.8264,77.83,87,96,6.51,1619210265
446,446,Seoul,KR,37.5683,126.9778,60.8,36,0,8.05,1619210105
447,447,Mahon,ES,39.8885,4.2658,55.4,88,0,6.91,1619210266
448,448,Romitan,UZ,39.9343,64.3814,59.0,47,0,4.61,1619210266
449,449,Tiznit Province,MA,29.5833,-9.5,60.78,62,63,6.24,1619210267
450,450,Krynychky,UA,48.3755,34.467,48.2,87,75,6.71,1619210267
451,451,Upata,VE,8.0086,-62.3989,86.56,45,90,9.57,1619210268
452,452,Vestmannaeyjar,IS,63.4427,-20.2734,46.26,87,100,20.36,1619210268
453,453,Aného,TG,6.2333,1.6,84.2,84,20,11.5,1619210268
454,454,Winslow,US,35.0242,-110.6974,68.0,15,20,13.8,1619210269
455,455,Biak,ID,-0.9131,122.8766,76.51,80,100,3.67,1619210269
456,456,Altamirano,MX,16.8833,-92.15,78.84,23,100,4.83,1619210270
457,457,Devonport,AU,-41.1667,146.35,52.0,85,74,1.01,1619210271
458,458,Thinadhoo,MV,0.5333,72.9333,82.29,68,10,8.39,1619210271
459,459,Novo Aripuanã,BR,-5.1206,-60.3797,79.59,92,100,1.23,1619210272
460,460,Debre Tabor,ET,11.85,38.0167,60.85,54,96,2.86,1619210272
461,461,Soma,TR,39.1855,27.6094,63.0,63,75,3.44,1619210272
462,462,Kytmanovo,RU,53.4593,85.4479,30.45,87,100,6.24,1619210273
463,463,Yerbogachën,RU,61.2767,108.0108,27.82,87,95,6.49,1619210273
